Year,Province,Price,CO2
1990,Ontario,57.5916666667,458.007408
1991,Ontario,56.3083333333,449.699173
1992,Ontario,54.825,463.521037
1993,Ontario,53.8375,463.993303
1994,Ontario,53.025,478.267071
1995,Ontario,54.4958333333,490.95138
1996,Ontario,58.6541666667,506.99962
1997,Ontario,59.3791666667,521.278446
1998,Ontario,52.8208333333,528.987104
1999,Ontario,57.7625,543.729999
2000,Ontario,71.7166666667,566.552294
2001,Ontario,70.1583333333,559.042165
2002,Ontario,69.1333333333,564.669174
2003,Ontario,73.9041666667,582.343586
2004,Ontario,79.7416666667,580.758769
2005,Ontario,91.5333333333,575.852411
2006,Ontario,95.9625,571.409763
2007,Ontario,101.7958333333,594.665366
2008,Ontario,114.4041666667,579.367139
2009,Ontario,94.4916666667,546.610441
2010,Ontario,104.6083333333,558.804007
2011,Ontario,126.6291666667,569.870198
2012,Ontario,129.8,569.262731
2013,Ontario,130.3708333333,573.698737
2014,Ontario,131.6875,570.563417
2015,Ontario,110.2458333333,573.061376
2016,Ontario,103.6875,559.566962
2017,Ontario,115.7916666667,569.360436
2018,Ontario,130.9833333333,579.470372
2019,Ontario,123.9916666667,582.389608
2020,Ontario,106.2916666667,535.82299
1990,British Columbia,60.7666666667,458.007408
1991,British Columbia,58.025,449.699173
1992,British Columbia,52.9708333333,463.521037
1993,British Columbia,52.875,463.993303
1994,British Columbia,53.7125,478.267071
1995,British Columbia,56.6416666667,490.95138
1996,British Columbia,58.5583333333,506.99962
1997,British Columbia,58.925,521.278446
1998,British Columbia,51.6416666667,528.987104
1999,British Columbia,56.7625,543.729999
2000,British Columbia,71.3166666667,566.552294
2001,British Columbia,71.4333333333,559.042165
2002,British Columbia,72.1708333333,564.669174
2003,British Columbia,78.95,582.343586
2004,British Columbia,87.9166666667,580.758769
2005,British Columbia,98.1208333333,575.852411
2006,British Columbia,104.6291666667,571.409763
2007,British Columbia,108.2208333333,594.665366
2008,British Columbia,121.9166666667,579.367139
2009,British Columbia,102.9958333333,546.610441
2010,British Columbia,112.2208333333,558.804007
2011,British Columbia,127.925,569.870198
2012,British Columbia,129.3583333333,569.262731
2013,British Columbia,132.2833333333,573.698737
2014,British Columbia,132.3416666667,570.563417
2015,British Columbia,120.1291666667,573.061376
2016,British Columbia,114.975,559.566962
2017,British Columbia,130.2708333333,569.360436
2018,British Columbia,146.4625,579.470372
2019,British Columbia,145.4625,582.389608
2020,British Columbia,124.4833333333,535.82299
1990,Alberta,53.8958333333,458.007408
1991,Alberta,50.1416666667,449.699173
1992,Alberta,47.0833333333,463.521037
1993,Alberta,46.5,463.993303
1994,Alberta,46.4,478.267071
1995,Alberta,48.775,490.95138
1996,Alberta,50.6333333333,506.99962
1997,Alberta,52.6333333333,521.278446
1998,Alberta,47.9416666667,528.987104
1999,Alberta,52.0166666667,543.729999
2000,Alberta,63.7875,566.552294
2001,Alberta,62.9208333333,559.042165
2002,Alberta,63.9875,564.669174
2003,Alberta,66.8583333333,582.343586
2004,Alberta,75.3375,580.758769
2005,Alberta,85.4875,575.852411
2006,Alberta,91.65,571.409763
2007,Alberta,97.6125,594.665366
2008,Alberta,110.1083333333,579.367139
2009,Alberta,87.6375,546.610441
2010,Alberta,91.5458333333,558.804007
2011,Alberta,109.5875,569.870198
2012,Alberta,111.0583333333,569.262731
2013,Alberta,110.9166666667,573.698737
2014,Alberta,112.75,570.563417
2015,Alberta,95.55,573.061376
2016,Alberta,87.9541666667,559.566962
2017,Alberta,99.6791666667,569.360436
2018,Alberta,118.3,579.470372
2019,Alberta,104.1666666667,582.389608
2020,Alberta,92.125,535.82299
1990,Quebec,62.6166666667,458.007408
1991,Quebec,64.2791666667,449.699173
1992,Quebec,60.6583333333,463.521037
1993,Quebec,58.2416666667,463.993303
1994,Quebec,55.9416666667,478.267071
1995,Quebec,57.4958333333,490.95138
1996,Quebec,60.6041666667,506.99962
1997,Quebec,61.6291666667,521.278446
1998,Quebec,55.7166666667,528.987104
1999,Quebec,62.25,543.729999
2000,Quebec,74.55,566.552294
2001,Quebec,73.85,559.042165
2002,Quebec,71.7458333333,564.669174
2003,Quebec,77.2416666667,582.343586
2004,Quebec,86.3958333333,580.758769
2005,Quebec,96.9166666667,575.852411
2006,Quebec,101.5666666667,571.409763
2007,Quebec,105.3875,594.665366
2008,Quebec,119.4458333333,579.367139
2009,Quebec,97.7041666667,546.610441
2010,Quebec,107.15,558.804007
2011,Quebec,129.2583333333,569.870198
2012,Quebec,135.5125,569.262731
2013,Quebec,136.05,573.698737
2014,Quebec,134.9833333333,570.563417
2015,Quebec,113.2666666667,573.061376
2016,Quebec,104.9125,559.566962
2017,Quebec,115.425,569.360436
2018,Quebec,128.7083333333,579.470372
2019,Quebec,122.5041666667,582.389608
2020,Quebec,104.9083333333,535.82299
