Country,Year,CO2
Canada,1990,458.007408
Canada,1991,449.699173
Canada,1992,463.521037
Canada,1993,463.993303
Canada,1994,478.267071
Canada,1995,490.95138
Canada,1996,506.99962
Canada,1997,521.278446
Canada,1998,528.987104
Canada,1999,543.729999
Canada,2000,566.552294
Canada,2001,559.042165
Canada,2002,564.669174
Canada,2003,582.343586
Canada,2004,580.758769
Canada,2005,575.852411
Canada,2006,571.409763
Canada,2007,594.665366
Canada,2008,579.367139
Canada,2009,546.610441
Canada,2010,558.804007
Canada,2011,569.870198
Canada,2012,569.262731
Canada,2013,573.698737
Canada,2014,570.563417
Canada,2015,573.061376
Canada,2016,559.566962
Canada,2017,569.360436
Canada,2018,579.470372
Canada,2019,582.389608
Canada,2020,535.82299
